[2026-04-06 22:51:01] INFO     binance_bot — ─── Скан #3 (19:51:01 UTC) ───
[2026-04-06 22:51:01] INFO     binance_bot — 📌 [AVAXUSDT] SHORT | Ціна=9.30 | TP=9.16 | SL=9.37 | P&L=-0.02%
[2026-04-06 22:51:01] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=52.9 OK, але MACD не перетинає вгору
[2026-04-06 22:51:02] DEBUG    binance_bot — [XRPUSDT] SHORT відхилено: EMA OK, RSI=42.5 OK, але MACD не перетинає вниз
[2026-04-06 22:51:02] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=44.2 OK, але MACD не перетинає вниз
[2026-04-06 22:51:02] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=45.5 OK, але MACD не перетинає вгору
[2026-04-06 22:51:03] INFO     binance_bot — ✅ [AVAXUSDT] SHORT: EMA21=9.34 < EMA50=9.35, RSI=39.0, MACD перетнув вниз
[2026-04-06 22:51:03] DEBUG    binance_bot — AVAXUSDT: вже є відкрита позиція (-1)
[2026-04-06 22:51:03] INFO     binance_bot — [AVAXUSDT] Позиція вже відкрита — пропускаємо
[2026-04-06 22:52:03] INFO     binance_bot — ─── Скан #4 (19:52:03 UTC) ───
[2026-04-06 22:52:03] INFO     binance_bot — 📌 [AVAXUSDT] SHORT | Ціна=9.30 | TP=9.16 | SL=9.37 | P&L=-0.04%
[2026-04-06 22:52:04] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=53.4 OK, але MACD не перетинає вгору
[2026-04-06 22:52:04] DEBUG    binance_bot — [XRPUSDT] SHORT відхилено: EMA OK, RSI=42.5 OK, але MACD не перетинає вниз
[2026-04-06 22:52:04] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=43.2 OK, але MACD не перетинає вниз
[2026-04-06 22:52:05] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=45.5 OK, але MACD не перетинає вгору
[2026-04-06 22:52:05] INFO     binance_bot — ✅ [AVAXUSDT] SHORT: EMA21=9.34 < EMA50=9.35, RSI=39.3, MACD перетнув вниз
[2026-04-06 22:52:05] DEBUG    binance_bot — AVAXUSDT: вже є відкрита позиція (-1)
[2026-04-06 22:52:05] INFO     binance_bot — [AVAXUSDT] Позиція вже відкрита — пропускаємо
[2026-04-06 22:53:05] INFO     binance_bot — ─── Скан #5 (19:53:05 UTC) ───
[2026-04-06 22:53:06] INFO     binance_bot — 📌 [AVAXUSDT] SHORT | Ціна=9.30 | TP=9.16 | SL=9.37 | P&L=-0.06%
[2026-04-06 22:53:07] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=53.4 OK, але MACD не перетинає вгору
[2026-04-06 22:53:07] INFO     binance_bot — 📊 [BNBUSDT] Ціна=606.99 | EMA21/EMA50 ⬆️ UP | RSI=53.4 | MACD diff=0.0260 | → немає (LONG відхилено)
[2026-04-06 22:53:07] DEBUG    binance_bot — [XRPUSDT] SHORT відхилено: EMA OK, RSI=42.3 OK, але MACD не перетинає вниз
[2026-04-06 22:53:07] INFO     binance_bot — 📊 [XRPUSDT] Ціна=1.34 | EMA21/EMA50 ⬇️ DOWN | RSI=42.3 | MACD diff=-0.0004 | → немає (SHORT відхилено)
[2026-04-06 22:53:07] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=43.2 OK, але MACD не перетинає вниз
[2026-04-06 22:53:07] INFO     binance_bot — 📊 [SOLUSDT] Ціна=81.65 | EMA21/EMA50 ⬇️ DOWN | RSI=43.2 | MACD diff=-0.0045 | → немає (SHORT відхилено)
[2026-04-06 22:53:07] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=46.0 OK, але MACD не перетинає вгору
[2026-04-06 22:53:07] INFO     binance_bot — 📊 [ETHUSDT] Ціна=2139.71 | EMA21/EMA50 ⬆️ UP | RSI=46.0 | MACD diff=-0.6973 | → немає (LONG відхилено)
[2026-04-06 22:53:08] INFO     binance_bot — ✅ [AVAXUSDT] SHORT: EMA21=9.34 < EMA50=9.35, RSI=39.0, MACD перетнув вниз
[2026-04-06 22:53:08] INFO     binance_bot — 📊 [AVAXUSDT] Ціна=9.30 | EMA21/EMA50 ⬇️ DOWN | RSI=39.0 | MACD diff=-0.0006 | → SHORT
[2026-04-06 22:53:08] DEBUG    binance_bot — AVAXUSDT: вже є відкрита позиція (-1)
[2026-04-06 22:53:08] INFO     binance_bot — [AVAXUSDT] Позиція вже відкрита — пропускаємо
[2026-04-06 22:54:08] INFO     binance_bot — ─── Скан #6 (19:54:08 UTC) ───
[2026-04-06 22:54:09] INFO     binance_bot — 📌 [AVAXUSDT] SHORT | Ціна=9.32 | TP=9.16 | SL=9.37 | P&L=-0.18%
[2026-04-06 22:54:09] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=52.9 OK, але MACD не перетинає вгору
[2026-04-06 22:54:09] DEBUG    binance_bot — [XRPUSDT] SHORT відхилено: EMA OK, RSI=42.3 OK, але MACD не перетинає вниз
[2026-04-06 22:54:10] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=43.9 OK, але MACD не перетинає вниз
[2026-04-06 22:54:10] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=46.0 OK, але MACD не перетинає вгору
[2026-04-06 22:54:11] DEBUG    binance_bot — [AVAXUSDT] SHORT відхилено: EMA OK, RSI=42.7 OK, але MACD не перетинає вниз
[2026-04-06 22:55:11] INFO     binance_bot — ─── Скан #7 (19:55:11 UTC) ───
[2026-04-06 22:55:11] INFO     binance_bot — 📌 [AVAXUSDT] SHORT | Ціна=9.31 | TP=9.16 | SL=9.37 | P&L=-0.11%
[2026-04-06 22:55:11] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=52.9 OK, але MACD не перетинає вгору
[2026-04-06 22:55:12] DEBUG    binance_bot — [XRPUSDT] LONG відхилено: EMA OK, RSI=44.5 OK, але MACD не перетинає вгору
[2026-04-06 22:55:12] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=43.2 OK, але MACD не перетинає вниз
[2026-04-06 22:55:12] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=45.9 OK, але MACD не перетинає вгору
[2026-04-06 22:55:13] INFO     binance_bot — ✅ [AVAXUSDT] SHORT: EMA21=9.34 < EMA50=9.35, RSI=40.8, MACD перетнув вниз
[2026-04-06 22:55:13] DEBUG    binance_bot — AVAXUSDT: вже є відкрита позиція (-1)
[2026-04-06 22:55:13] INFO     binance_bot — [AVAXUSDT] Позиція вже відкрита — пропускаємо
[2026-04-06 22:56:13] INFO     binance_bot — ─── Скан #8 (19:56:13 UTC) ───
[2026-04-06 22:56:13] INFO     binance_bot — 📌 [AVAXUSDT] SHORT | Ціна=9.31 | TP=9.16 | SL=9.37 | P&L=-0.11%
[2026-04-06 22:56:14] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=55.0 OK, але MACD не перетинає вгору
[2026-04-06 22:56:14] DEBUG    binance_bot — [XRPUSDT] LONG відхилено: EMA OK, RSI=44.9 OK, але MACD не перетинає вгору
[2026-04-06 22:56:14] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=42.9 OK, але MACD не перетинає вниз
[2026-04-06 22:56:15] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=45.9 OK, але MACD не перетинає вгору
[2026-04-06 22:56:15] INFO     binance_bot — ✅ [AVAXUSDT] SHORT: EMA21=9.34 < EMA50=9.35, RSI=40.8, MACD перетнув вниз
[2026-04-06 22:56:15] DEBUG    binance_bot — AVAXUSDT: вже є відкрита позиція (-1)
[2026-04-06 22:56:15] INFO     binance_bot — [AVAXUSDT] Позиція вже відкрита — пропускаємо
[2026-04-06 22:57:15] INFO     binance_bot — ─── Скан #9 (19:57:15 UTC) ───
[2026-04-06 22:57:16] INFO     binance_bot — 📌 [AVAXUSDT] SHORT | Ціна=9.31 | TP=9.16 | SL=9.37 | P&L=-0.11%
[2026-04-06 22:57:16] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=53.9 OK, але MACD не перетинає вгору
[2026-04-06 22:57:16] DEBUG    binance_bot — [XRPUSDT] LONG відхилено: EMA OK, RSI=42.8 OK, але MACD не перетинає вгору
[2026-04-06 22:57:17] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=42.9 OK, але MACD не перетинає вниз
[2026-04-06 22:57:17] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=47.2 OK, але MACD не перетинає вгору
[2026-04-06 22:57:17] INFO     binance_bot — ✅ [AVAXUSDT] SHORT: EMA21=9.34 < EMA50=9.35, RSI=40.8, MACD перетнув вниз
[2026-04-06 22:57:18] DEBUG    binance_bot — AVAXUSDT: вже є відкрита позиція (-1)
[2026-04-06 22:57:18] INFO     binance_bot — [AVAXUSDT] Позиція вже відкрита — пропускаємо
[2026-04-06 22:58:18] INFO     binance_bot — ─── Скан #10 (19:58:18 UTC) ───
[2026-04-06 22:58:18] INFO     binance_bot — 📌 [AVAXUSDT] SHORT | Ціна=9.31 | TP=9.16 | SL=9.37 | P&L=-0.11%
[2026-04-06 22:58:18] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=53.9 OK, але MACD не перетинає вгору
[2026-04-06 22:58:18] INFO     binance_bot — 📊 [BNBUSDT] Ціна=607.09 | EMA21/EMA50 ⬆️ UP | RSI=53.9 | MACD diff=0.0324 | → немає (LONG відхилено)
[2026-04-06 22:58:19] DEBUG    binance_bot — [XRPUSDT] SHORT відхилено: EMA OK, RSI=42.2 OK, але MACD не перетинає вниз
[2026-04-06 22:58:19] INFO     binance_bot — 📊 [XRPUSDT] Ціна=1.34 | EMA21/EMA50 ⬇️ DOWN | RSI=42.2 | MACD diff=-0.0004 | → немає (SHORT відхилено)
[2026-04-06 22:58:19] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=42.9 OK, але MACD не перетинає вниз
[2026-04-06 22:58:19] INFO     binance_bot — 📊 [SOLUSDT] Ціна=81.64 | EMA21/EMA50 ⬇️ DOWN | RSI=42.9 | MACD diff=-0.0052 | → немає (SHORT відхилено)
[2026-04-06 22:58:19] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=47.2 OK, але MACD не перетинає вгору
[2026-04-06 22:58:19] INFO     binance_bot — 📊 [ETHUSDT] Ціна=2141.08 | EMA21/EMA50 ⬆️ UP | RSI=47.2 | MACD diff=-0.6098 | → немає (LONG відхилено)
[2026-04-06 22:58:20] DEBUG    binance_bot — [AVAXUSDT] SHORT відхилено: EMA OK, RSI=41.1 OK, але MACD не перетинає вниз
[2026-04-06 22:58:20] INFO     binance_bot — 📊 [AVAXUSDT] Ціна=9.31 | EMA21/EMA50 ⬇️ DOWN | RSI=41.1 | MACD diff=0.0000 | → немає (SHORT відхилено)
[2026-04-06 22:59:20] INFO     binance_bot — ─── Скан #11 (19:59:20 UTC) ───
[2026-04-06 22:59:20] INFO     binance_bot — 📌 [AVAXUSDT] SHORT | Ціна=9.32 | TP=9.16 | SL=9.37 | P&L=-0.25%
[2026-04-06 22:59:20] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=53.6 OK, але MACD не перетинає вгору
[2026-04-06 22:59:21] DEBUG    binance_bot — [XRPUSDT] SHORT відхилено: EMA OK, RSI=42.2 OK, але MACD не перетинає вниз
[2026-04-06 22:59:21] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=42.9 OK, але MACD не перетинає вниз
[2026-04-06 22:59:21] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=47.0 OK, але MACD не перетинає вгору
[2026-04-06 22:59:22] DEBUG    binance_bot — [AVAXUSDT] SHORT відхилено: EMA OK, RSI=41.1 OK, але MACD не перетинає вниз
[2026-04-06 22:59:49] INFO     binance_bot — Отримано сигнал завершення (2) — зупиняємо…
[2026-04-06 22:59:50] INFO     binance_bot — 🛑 Бот зупиняється… Закриваємо позиції…
[2026-04-06 22:59:50] INFO     binance_bot — Закриваємо AVAXUSDT (завершення роботи бота)…
[2026-04-06 22:59:51] INFO     binance_bot — 💹 Денний P&L: 0.0000 USDT
[2026-04-06 22:59:51] INFO     binance_bot — 🔴 [AVAXUSDT] Позиція закрита (завершення роботи бота) | Вхід: 9.30 → Вихід: 0.00 | P&L: 0.0000 USDT (0.00%)
[2026-04-06 22:59:52] INFO     binance_bot — 👋 Бот завершив роботу
[2026-04-06 23:04:27] INFO     binance_bot — 🔧 Режим: TESTNET (https://testnet.binancefuture.com)
[2026-04-06 23:04:28] INFO     binance_bot — ============================================================
[2026-04-06 23:04:28] INFO     binance_bot — 🤖 Binance Futures Bot стартує…
[2026-04-06 23:04:28] INFO     binance_bot — Режим: 🔧 TESTNET
[2026-04-06 23:04:28] INFO     binance_bot — Пари: BNBUSDT, XRPUSDT, SOLUSDT, ETHUSDT, AVAXUSDT
[2026-04-06 23:04:28] INFO     binance_bot — Таймфрейм: 15m | Плече: x5 | Ризик/угода: 2%
[2026-04-06 23:04:28] INFO     binance_bot — ============================================================
[2026-04-06 23:04:29] INFO     binance_bot — ✅ З'єднання з Binance API встановлено
[2026-04-06 23:04:29] INFO     binance_bot — 💼 Баланс: 4999.8720 USDT
[2026-04-06 23:04:29] INFO     binance_bot — 📂 Відкритих позицій: 0
[2026-04-06 23:04:29] INFO     binance_bot — 📊 Тестуємо отримання свічок для BTCUSDT…
[2026-04-06 23:04:30] INFO     binance_bot — ✅ BTCUSDT остання ціна закриття: 69620.90 USDT
[2026-04-06 23:04:30] INFO     binance_bot — ============================================================
[2026-04-06 23:04:30] INFO     binance_bot — 🤖 Запуск Telegram бота…
[2026-04-06 23:04:30] INFO     binance_bot — 🧵 Telegram бот запущено у фоновому потоці
